station,slots
Amana Regional Referral Hospital,6
Central Tuberculosis Reference Lab Dar,6
Chief Government Chemist-Zanzibar,3
"Dept of Vet Micro, Para & Biotech-SUA",6
Elven Agri Mapinga,2
Government Chemist Laboratory Authority Dar,2
Haydom Lutheran Hospital Haydom Manyara,4
Ifakara Health Institute Bagamoyo,2
Ifakara Health Institute Ifakara,6
International Institute of Tropical Agriculture IITA Dar,2
Kilimanjaro Clinical Research Institute Kilimanjaro,8
Mbeya Zonal Referral Hospital,5
MilkCom Dairies Industry Kigamboni,2
MUHAS Genetics and Biochem Lab,3
National Institute for Medical Research NIMR Mbeya,1
National Institute for Medical Research NIMR Mwanza,6
National Institute for Medical Research NIMR Tanga,5
Tanzania Food and Nutrition Centre Dar,3
Tanzania Agricultural Research Institute TARI Kibaha,3
Tanzania Agricultural Research Institute TARI Mikocheni,4
Tanzania Industrial Research and Development Organization TIRDO Dar,3
Tanzania Plant Health and Pesticides Authority TPHPA Arusha,4
Tanzania Veterinary Laboratory Authority TVLA Dar,10
Tanzania Veterinary Laboratory Authority TVLA Tanga,4
Taasisi ya Utafiti wa Mifugo Zanzibar ZALIRI Zanzibar,3
Zanzibar Food and Drug Agency ZFDA Zanzibar,3
